"337";"49";"1";"1";"10";"Y"
"338";"49";"1";"2";"20";"Y"
"339";"49";"1";"3";"30";"Y"
"340";"49";"1";"4";"40";"Y"
"341";"49";"1";"5";"50";"Y"
"342";"49";"1";"6";"60";"Y"
"344";"50";"1";"1";"10";"Y"
"345";"50";"1";"2";"20";"Y"
"346";"50";"1";"3";"30";"Y"
"347";"50";"1";"4";"40";"Y"
"348";"50";"1";"5";"50";"Y"
"349";"50";"1";"6";"60";"Y"
"351";"51";"1";"1";"10";"Y"
"352";"51";"1";"2";"20";"Y"
"353";"51";"1";"3";"30";"Y"
"354";"51";"1";"4";"40";"Y"
"355";"51";"1";"5";"50";"Y"
"356";"51";"1";"6";"60";"Y"
"358";"52";"1";"1";"10";"Y"
"359";"52";"1";"2";"20";"Y"
"360";"52";"1";"3";"30";"Y"
"361";"52";"1";"4";"40";"Y"
"362";"52";"1";"5";"50";"Y"
"363";"52";"1";"6";"60";"Y"
"365";"53";"1";"1";"10";"Y"
"366";"53";"1";"2";"20";"Y"
"367";"53";"1";"3";"30";"Y"
"368";"53";"1";"4";"40";"Y"
"369";"53";"1";"5";"50";"Y"
"370";"53";"1";"6";"60";"Y"
"372";"54";"1";"1";"10";"Y"
"373";"54";"1";"2";"20";"Y"
"374";"54";"1";"3";"30";"Y"
"375";"54";"1";"4";"40";"Y"
"376";"54";"1";"5";"50";"Y"
"377";"54";"1";"6";"60";"Y"
"379";"55";"1";"1";"10";"Y"
"380";"55";"1";"2";"20";"Y"
"381";"55";"1";"3";"30";"Y"
"382";"55";"1";"4";"40";"Y"
"383";"55";"1";"5";"50";"Y"
"384";"55";"1";"6";"60";"Y"
"386";"56";"1";"1";"10";"Y"
"387";"56";"1";"2";"20";"Y"
"388";"56";"1";"3";"30";"Y"
"389";"56";"1";"4";"40";"Y"
"390";"56";"1";"5";"50";"Y"
"391";"56";"1";"6";"60";"Y"
"393";"57";"1";"1";"10";"Y"
"394";"57";"1";"2";"20";"Y"
"395";"57";"1";"3";"30";"Y"
"396";"57";"1";"4";"40";"Y"
"397";"57";"1";"5";"50";"Y"
"398";"57";"1";"6";"60";"Y"
"400";"58";"1";"1";"10";"Y"
"401";"58";"1";"2";"20";"Y"
"402";"58";"1";"3";"30";"Y"
"403";"58";"1";"4";"40";"Y"
"404";"58";"1";"5";"50";"Y"
"405";"58";"1";"6";"60";"Y"
"407";"59";"1";"1";"10";"Y"
"408";"59";"1";"2";"20";"Y"
"409";"59";"1";"3";"30";"Y"
"410";"59";"1";"4";"40";"Y"
"411";"59";"1";"5";"50";"Y"
"412";"59";"1";"6";"60";"Y"
"414";"60";"1";"1";"10";"Y"
"415";"60";"1";"2";"20";"Y"
"416";"60";"1";"3";"30";"Y"
"417";"60";"1";"4";"40";"Y"
"418";"60";"1";"5";"50";"Y"
